award,describe,evaluate,instruce,movie_name,serial_number,start
"第67届奥斯卡金像奖最佳影片(提名)妮基·马文,第19届日本电影学院奖最佳外语片,第20届报知映画赏海外作品奖弗兰克·德拉邦特",希望让人自由。,2088503人评价,1994/美国/犯罪剧情,肖申克的救赎,1,9.7
"第66届奥斯卡金像奖最佳外语片(提名),第46届戛纳电影节主竞赛单元金棕榈奖陈凯歌,第47届英国电影学院奖电影奖最佳非英语片陈凯歌徐枫",风华绝代。,1548785人评价,1993/中国大陆中国香港/剧情爱情同性,霸王别姬,2,9.6
"第67届奥斯卡金像奖最佳影片史蒂夫·蒂彻温迪·芬德曼史蒂夫·斯达克,第48届英国电影学院奖电影奖最佳影片(提名)温迪·芬德曼史蒂夫·斯达克史蒂夫·蒂彻罗伯特·泽米吉斯,第19届日本电影学院奖最佳外语片(提名)",一部美国近现代史。,1577453人评价,1994/美国/剧情爱情,阿甘正传,3,9.5
第19届日本电影学院奖最佳外语片(提名),怪蜀黍和小萝莉不得不说的故事。,1767404人评价,1994/法国美国/剧情动作犯罪,这个杀手不太冷,4,9.4
"第70届奥斯卡金像奖最佳影片詹姆斯·卡梅隆乔恩·兰道,第21届日本电影学院奖最佳外语片(提名),第26届动画安妮奖最佳动画技术成果",失去的才是永恒的。 ,1531033人评价,1997/美国/剧情爱情灾难,泰坦尼克号,5,9.4
"第71届奥斯卡金像奖最佳影片(提名)艾尔达·法瑞吉安路易吉·布拉斯基,第51届戛纳电影节主竞赛单元金棕榈奖(提名)罗伯托·贝尼尼,第23届日本电影学院奖最佳外语片(提名)",最美的谎言。,987578人评价,1997/意大利/剧情喜剧爱情战争,美丽人生,6,9.5
"第75届奥斯卡金像奖最佳动画长片宫崎骏,第52届柏林国际电影节金熊奖最佳影片宫崎骏,第21届香港电影金像奖最佳亚洲电影",最好的宫崎骏，最好的久石让。 ,1640417人评价,2001/日本/剧情动画奇幻,千与千寻,7,9.4
"第66届奥斯卡金像奖最佳影片杰拉尔德·R·莫伦布兰科·拉斯蒂格史蒂文·斯皮尔伯格,第47届英国电影学院奖电影奖最佳影片史蒂文·斯皮尔伯格杰拉尔德·R·莫伦布兰科·拉斯蒂格,第18届日本电影学院奖最佳外语片",拯救一个人，就是拯救整个世界。,803195人评价,1993/美国/剧情历史战争,辛德勒的名单,8,9.5
"第83届奥斯卡金像奖最佳影片(提名)艾玛·托马斯克里斯托弗·诺兰,第68届金球奖电影类最佳剧情片(提名),第34届日本电影学院奖最佳外语片(提名)",诺兰给了我们一场无法盗取的梦。,1505537人评价,2010/美国英国/剧情科幻悬疑冒险,盗梦空间,9,9.3
,永远都不能忘记你所爱的人。,1047940人评价,2009/美国英国/剧情,忠犬八公的故事,10,9.4
第57届金球奖电影类最佳原创配乐恩尼奥·莫里康内,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,1255669人评价,1998/意大利/剧情音乐,海上钢琴师,11,9.3
"第71届奥斯卡金像奖最佳导演(提名)彼得·威尔,第71届奥斯卡金像奖最佳男配角(提名)艾德·哈里斯,第56届金球奖电影类最佳剧情片(提名)",如果再也不能见到你，祝你早安，午安，晚安。,1128622人评价,1998/美国/剧情科幻,楚门的世界,12,9.3
第37届日本电影学院奖最佳外语片(提名),英俊版憨豆，高情商版谢耳朵。,1397882人评价,2009/印度/剧情喜剧爱情歌舞,三傻大闹宝莱坞,13,9.2
"第81届奥斯卡金像奖最佳原创剧本(提名)彼特·道格特安德鲁·斯坦顿吉姆·里尔顿,第66届金球奖电影类最佳动画长片,第36届动画安妮奖最佳动画长片(提名)",小瓦力，大人生。,990439人评价,2008/美国/科幻动画冒险,机器人总动员,14,9.3
"第77届奥斯卡金像奖最佳外语片(提名)克里斯托夫·巴拉蒂,第62届金球奖电影类最佳外语片(提名),第58届英国电影学院奖电影奖最佳改编剧本(提名)菲利普·洛佩斯-屈瓦尔克里斯托夫·巴拉蒂",天籁一般的童声，是最接近上帝的存在。 ,972467人评价,2004/法国瑞士德国/剧情音乐,放牛班的春天,15,9.3
"第87届奥斯卡金像奖最佳视觉效果斯科特·R·费希尔伊恩·亨特保罗·J·富兰克林安德鲁·洛克利,第72届金球奖电影类最佳原创配乐(提名),第38届日本电影学院奖最佳外语片(提名)",爱是一种力量，让我们超越时空感知它的存在。,1129854人评价,2014/美国英国加拿大冰岛/剧情科幻冒险,星际穿越,16,9.3
"第15届香港电影金像奖最佳编剧(提名)刘镇伟,第15届香港电影金像奖最佳男主角(提名)周星驰",一生所爱。,1106632人评价,1995/中国香港中国大陆/喜剧爱情奇幻古装,大话西游之大圣娶亲,17,9.2
"第49届韩国电影大钟奖最佳影片(提名),第49届韩国电影大钟奖最佳女配角(提名)金贤秀",我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,681857人评价,2011/韩国/剧情,熔炉,18,9.3
"第89届奥斯卡金像奖最佳动画长片拜伦·霍华德瑞奇·摩尔克拉克·斯宾塞,第74届金球奖电影类最佳动画长片,第70届英国电影学院奖电影奖最佳动画片(提名)拜伦·霍华德瑞奇·摩尔",迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,1327474人评价,2016/美国/喜剧动画冒险,疯狂动物城,19,9.2
"第40届台北金马影展金马奖最佳剧情片,第22届香港电影金像奖最佳电影,第10届华语电影传媒大奖新世纪十年十佳电影",香港电影史上永不过时的杰作。,902961人评价,2002/中国香港/剧情犯罪悬疑,无间道,20,9.2
第13届报知映画赏最佳导演宫崎骏,人人心中都有个龙猫，童年就永远不会消失。,934206人评价,1988/日本/动画奇幻冒险,龙猫,21,9.2
"第45届奥斯卡金像奖最佳影片艾伯特·S·拉迪,第45届奥斯卡金像奖最佳导演(提名)弗朗西斯·福特·科波拉,第45届奥斯卡金像奖最佳男主角马龙·白兰度",千万不要记恨你的对手，这样会让你失去理智。,682407人评价,1972/美国/剧情犯罪,教父,22,9.3
"第79届奥斯卡金像奖最佳男主角(提名)威尔·史密斯,第64届金球奖电影类剧情片最佳男主角(提名)威尔·史密斯,第16届MTV电影奖MTV电影奖最佳表演(提名)威尔·史密斯",平民励志片。 ,1121852人评价,2006/美国/剧情传记家庭,当幸福来敲门,23,9.1
第6届豆瓣电影年度榜单2010s电影(提名),真正的幸福是来自内心深处。,1304058人评价,2010/美国/剧情喜剧爱情,怦然心动,24,9.1
"第70届金球奖电影类最佳外语片(提名),第25届欧洲电影奖观众选择奖(提名)埃里克·托莱达诺奥利维埃·纳卡什,第36届日本电影学院奖最佳外语片",满满温情的高雅喜剧。,728909人评价,2011/法国/剧情喜剧,触不可及,25,9.2
